Issue_Key,Issue_Type,Reporter,Summary,Category,Problem_Category,Impact,Urgency,Priority,Close_Code,Status,Assigned_To,Parent_Incident,Description_(Workaround),Date_Created,Resolution_time_(in sec),Date_Resolved,Resolution
INC-0174204,[System] Incident,IA SRS Integration,"Logon       Error: 17828, Severity: 20, State: 4.     The prelogin packet used to open the connection is structurally invalid; the connection has been closed. P",Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Check Compatibility of client and server. Update client or server if necessary. Check firewall settings. Reconfigure network configurations if necessary.,2021-09-13 20:17,321165,2021-09-17 13:29,Done
INC-0174212,[System] Incident,IA SRS Integration,"Logon       Error: 17828, Severity: 20, State: 4.     The prelogin packet used to open the connection is structurally invalid; the connection has been closed. P",Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Check Compatibility of client and server. Update client or server if necessary. Check firewall settings. Reconfigure network configurations if necessary.,2021-09-13 20:29,320421,2021-09-17 13:29,Done
INC-0174291,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = User_DB.Statistics_Update, Job id = 7AD7A7B7-B875-43DE-AC55-2D95C7F8D3C0, run date = 20190914, runtime = 23000 for IALPMSP",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Work Around),Closed,Unassigned,No Parent Incident,Rerun Job,2021-09-14 06:14,31391,2021-09-14 14:57,Done
INC-0174308,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'D:' Data LOWER THAN THRESHOLD 10.0% (51199.70 MB),Hardware,Insufficient Disk Space,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-09-14 07:49,157209,2021-09-16 03:29,Done
INC-0174310,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Del_Castle_Hill_from_106, Job id = D1864F22-F793-4792-AD0F-4E280FF5E73B, run date = 20190914, runtime = 73000 for IALDMSVS",Hardware,Job Failure,Minor / Localized,Low,Low,Not Solved (Not Reproducible),Closed,Unassigned,No Parent Incident,No action taken. For monitoring.,2021-09-14 07:51,293278,2021-09-17 17:18,Done
INC-0174346,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Log_FIle, Job id = 9D5A253F-AAF2-4FB0-9EE1-347FB9C17A56, run date = 20190914, runtime = 100000 for IALPMSPLREC01> [",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-09-14 10:08,4404,2021-09-14 11:21,Done
INC-0174355,[System] Incident,IA SRS Integration,ALERT9-17: Unable to stat file 'E:\Microsoft SQL Server\MSSQL11.NONPRODDR\MSSQL\Log\ERRORLOG'. (No such file or directory),Hardware,Path Unavailable,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Check directory rights,2021-09-14 10:56,269832,2021-09-17 13:53,Done
INC-0174356,[System] Incident,IA SRS Integration,"spid5s      Error: 35262, Severity: 17, State: 1.    Skipping the default startup of database 'IA_COREDEC_SIT_TDE' because the database belongs to an availabil",Hardware,Database Error,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Check database status and AG status. Initiate switch over.,2021-09-14 10:57,334008,2021-09-18 07:43,Done
INC-0174377,[System] Incident,IA SRS Integration,"MSSQL Error: 17053. spid71      Error: 17053, Severity: 16, State: 1.    L:\Program Files\Microsoft SQL Server\MSSQL12.BIDWSQL2014\MSSQL\Data\EDDH_logSpill.ldf:",Hardware,Operating System Error,Moderate / Limited,Low,Medium,Solved (Work Around),Closed,Unassigned,No Parent Incident,Check database status and ldf location. Restart database.,2021-09-14 14:59,6295,2021-09-14 16:43,Done
INC-0174378,[System] Incident,IA SRS Integration,"Error: 9002, Severity: 17, State: 4.    The transaction log for database 'EDDH' is full due to 'ACTIVE_TRANSACTION'.",Hardware,Full DB Storage,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Kill long running process. Rerun transaction log backup. Rerun  process,2021-09-14 14:59,2676,2021-09-14 15:43,Done
INC-0174388,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Transaction_Log_Backup_Job_for_DB_Maintenance_Plan_'Config_DB', Job id = 0085B83C-28F1-4AEB-A978-65EB1128D397, run date = ",Hardware,Job Failure,Minor / Localized,Low,Low,Not Solved (Not Reproducible),Closed,Unassigned,No Parent Incident,No action taken. For monitoring.,2021-09-14 17:12,259675,2021-09-17 17:19,Done
INC-0174394,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = DB_Backup_Job_for_DB_Maintenance_Plan_'Config_DB', Job id = 5FA02DD8-DDF1-43CD-A998-C8710D70AA3B, run date = 20190914, run",Hardware,Job Failure,Minor / Localized,Low,Low,Not Solved (Not Reproducible),Closed,Unassigned,No Parent Incident,No action taken. For monitoring.,2021-09-14 19:22,251958,2021-09-17 17:21,Done
INC-0174420,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'L:' LOGS LOWER THAN THRESHOLD 10.0% (25599.69 MB),Hardware,Insufficient Disk Space,Minor / Localized,Low,Low,Solved (Work Around),Closed,Deomar Amarlio,No Parent Incident,Increase disk space by 20% from original size,2021-09-14 23:25,378388,2021-09-19 08:31,Done
INC-0174422,[System] Incident,IA SRS Integration,ALERT11-03: Unable to connect to one or more databases (IALDMSPLSQL05\BIDWSQL2014) configured in file local.cfg located in ALERT directory.,Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart monitoring tool,2021-09-15 00:02,182,2021-09-15 00:05,Done
INC-0174423,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Log_FIle, Job id = 9D5A253F-AAF2-4FB0-9EE1-347FB9C17A56, run date = 20190915, runtime = 0 for IALPMSPLREC01> [Polic",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-09-15 00:03,4692,2021-09-15 01:21,Done
INC-0174426,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Job, Job id = C9AB6C46-CA85-414F-90AE-E87C099BB4DB, run date = 20190915, runtime = 3000 for IALPMSELSPS01> [Policy:",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-09-15 00:34,4616,2021-09-15 01:50,Done
INC-0174442,[System] Incident,IA SRS Integration,ALERT-3233: Database IA_COREDEC_SIT has not been backed up for 48.00 hours >=48 hours for IALDMSVSSQL24. [Policy: ALERTMON-ALERT-3233-ARM],Hardware,Backup Missing,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Run database backup job or script,2021-09-15 02:43,87529,2021-09-16 03:01,Done
INC-0174443,[System] Incident,IA SRS Integration,ALERT-3233: Database AML_KYC_Dev has not been backed up for 48.00 hours >=48 hours for IALDMSVSSQL24. [Policy: ALERTMON-ALERT-3233-ARM],Hardware,Backup Missing,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Run database backup job or script,2021-09-15 02:43,92237,2021-09-16 04:20,Done
INC-0174445,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = BTS_Log_Shipping_-_Get_Backup_History__DBServer:_IALDMSPLVMSQL10\IAESB,_DBName:_BizTalkMgmtDb_, Job id = E51E591D-0CEC-41",Hardware,Job Failure,Minor / Localized,Low,Low,Not Solved (Not Reproducible),Closed,Unassigned,No Parent Incident,No action taken. For monitoring.,2021-09-15 03:25,90766,2021-09-16 04:37,Done
INC-0174446,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'E:' SQL Logs LOWER THAN THRESHOLD 5.0% (1535.85 MB),Hardware,Insufficient Disk Space,Significant / Large,Medium,High,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-09-15 03:26,4206,2021-09-15 04:36,Done
INC-0174447,[System] Incident,IA SRS Integration,"MSSQL Error: 17053. spid79      Error: 17053, Severity: 16, State: 1.    E:\Program Files\Microsoft SQL Server\MSSQL10_50.MSSQLSERVER\MSSQL\Data\vCenter_HQ_log.",Hardware,Operating System Error,Moderate / Limited,Low,Medium,Cancelled,Closed,Unassigned,No Parent Incident,No action required. Ticket Invalid,2021-09-15 03:35,93115,2021-09-16 05:26,Done
INC-0174448,[System] Incident,IA SRS Integration,"Error: 9002, Severity: 17, State: 2.    The transaction log for database 'vCenter_HQ' is full. To find out why space in the log cannot be reused, see the log_re",Hardware,Insufficient Disk Space,Significant / Large,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Kill long running process. Rerun transaction log backup. Rerun  process,2021-09-15 03:35,315,2021-09-15 03:40,Done
INC-0174449,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = DBA_Maintenance_Plan.Optimization, Job id = F13F6998-E380-4E46-977F-7F05B3717F24, run date = 20190915, runtime = 30000 for",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-09-15 03:40,95684,2021-09-16 06:14,Done
INC-0174461,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'D:' Data LOWER THAN THRESHOLD 10.0% (31743.70 MB),Hardware,Insufficient Disk Space,Significant / Large,Medium,High,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-09-15 04:41,22203,2021-09-15 10:51,Done
INC-0174466,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Transaction_Log_Backups.Subplan_1, Job id = 0E854600-8D7B-4C40-B94C-517761F29D0F, run date = 20190915, runtime = 60000 for",Hardware,Job Failure,Minor / Localized,Low,Low,Not Solved (Not Reproducible),Closed,Unassigned,No Parent Incident,No action taken. For monitoring.,2021-09-15 06:17,212802,2021-09-17 17:23,Done
INC-0174471,[System] Incident,IA SRS Integration,ALERT-3030: Cannot connect to MS SQL Server IALDMSVSSQL28. [Policy: ALERTMON-ALERT-3030-ARM],Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart database,2021-09-15 06:57,78848,2021-09-16 04:51,Done
INC-0174494,[System] Incident,IA SRS Integration,"Error: 9002, Severity: 17, State: 4.   The transaction log for database 'RegRpt' is full due to 'ACTIVE_TRANSACTION'.",Hardware,Full DB Storage,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Kill long running process. Rerun transaction log backup. Rerun  process,2021-09-15 10:54,61853,2021-09-16 04:04,Done
INC-0174503,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'G:' DB-Temp LOWER THAN THRESHOLD 10.0% (3071.70 MB),Hardware,Insufficient Disk Space,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-09-15 13:07,50985,2021-09-16 03:16,Done
INC-0174524,[System] Incident,IA SRS Integration,"MSSQL Error: 17053. spid86      Error: 17053, Severity: 16, State: 1.    L:\Program Files\Microsoft SQL Server\MSSQL12.BIDWSQL2014\MSSQL\Data\templog.ldf: Opera",Hardware,Operating System Error,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Check database status and ldf location. Restart database.,2021-09-15 19:30,240026,2021-09-18 14:10,Done
INC-0174542,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Log_FIle, Job id = 9D5A253F-AAF2-4FB0-9EE1-347FB9C17A56, run date = 20190916, runtime = 0 for IALPMSPLREC01> [Polic",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-09-16 00:13,4070,2021-09-16 01:20,Done
INC-0174547,[System] Incident,IA SRS Integration,IALDMSSDSQ02  Server not accessible,Database,Server Inaccesibility,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Check user permission and grant necessary rights.Ensure server is online. Start server if offline. Check firewall settings. Check and reconfigure network if necessary. ,2021-09-16 02:06,224918,2021-09-18 16:34,Done
INC-0174561,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = User_BigDB_FULL_BK, Job id = 24A63081-6E29-49CC-A3E3-49D28523B64E, run date = 20190915, runtime = 173000 for IALPMSPLSQL02",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-09-16 04:20,98390,2021-09-17 07:39,Done
INC-0174576,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'E:' SQL Logs LOWER THAN THRESHOLD 10.0% (3071.70 MB),Hardware,Insufficient Disk Space,Significant / Large,Medium,High,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-09-16 05:53,4354,2021-09-16 07:05,Done
INC-0174948,[System] Incident,IA SRS Integration,ALERT-3030: Cannot connect to MS SQL Server IA-PMSHQSQL01. [Policy: ALERTMON-ALERT-3030-ARM],Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Work Around),Closed,Marlowe Jamar De Lama,No Parent Incident,Restart database,2021-09-16 14:53,31493,2021-09-16 23:37,Done
INC-0175045,[System] Incident,IA SRS Integration,ALERT40-19: Error opening cursor metric3240_90 [System.Data.SqlClient.SqlException: User 'hp_ALERT' does not have permission to run DBCC showfilestats for datab,Hardware,Unauthorized Permission,Minor / Localized,Low,Low,Not Solved (Not Reproducible),Closed,Unassigned,No Parent Incident,No action taken. For monitoring.,2021-09-16 18:48,81515,2021-09-17 17:26,Done
INC-0175066,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Shrink_Log_FIle, Job id = 9D5A253F-AAF2-4FB0-9EE1-347FB9C17A56, run date = 20190917, runtime = 0 for IALPMSPLREC01> [Polic",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-09-17 00:13,4072,2021-09-17 01:20,Done
INC-0175143,[System] Incident,IA SRS Integration,FREE DISKSPACE ON F:\ SQL TRN LOG LOWER THAN THRESHOLD 10.0% (17.887GB).,Hardware,Insufficient Disk Space,Moderate / Limited,Low,Medium,Not Solved (Not Reproducible),Closed,Unassigned,No Parent Incident,No action taken. For monitoring.,2021-09-17 09:11,29735,2021-09-17 17:26,Done
INC-0175395,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'Z:' BACKUPS LOWER THAN THRESHOLD 10.0% (34303.69 MB),Hardware,Insufficient Disk Space,Minor / Localized,Low,Low,Solved (Work Around),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-09-17 14:07,164994,2021-09-19 11:56,Done
INC-0175463,[System] Incident,IA SRS Integration,ALERT9-17: Unable to stat file 'E:\Microsoft SQL Server\MSSQL11.NONPRODDR\MSSQL\Log\ERRORLOG'. (No such file or directory),Hardware,Path Unavailable,Minor / Localized,Low,Low,Solved (Work Around),Closed,Unassigned,No Parent Incident,Check directory rights,2021-09-17 15:23,516100,2021-09-23 14:44,Done
INC-0175545,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'L:' LOGS LOWER THAN THRESHOLD 5.0% (12799.85 MB),Hardware,Insufficient Disk Space,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-09-17 17:30,42822,2021-09-18 05:23,Done
INC-0175575,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = User_BigDB_FULL_BK, Job id = 24A63081-6E29-49CC-A3E3-49D28523B64E, run date = 20190917, runtime = 173000 for IALPMSPLSQL02",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-09-17 20:46,61610,2021-09-18 13:52,Done
INC-0175612,[System] Incident,IA SRS Integration,"Environment Details: ProductionManagement Server: IALPMSVSSQL22\IAESB, Management Database:BizTalkMgmtDbAlarm Name: System_LowSeverityNotification Type: Err",Hardware,Notification Error,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Check user permission and grant necessary rights. Reconfigure server alarm settings. Check and restart connection if necessary.,2021-09-18 01:15,46038,2021-09-18 14:02,Done
INC-0175615,[System] Incident,IA SRS Integration,"spid52s     Error: 35278, Severity: 17, State: 1.   Availability database 'vCentre5_EL_DB', which is in the secondary role, is being restarted to resynchronize ",Hardware,Database Error,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Check database status and AG status. Initiate switch over.,2021-09-18 01:43,21403,2021-09-18 07:39,Done
INC-0175616,[System] Incident,IA SRS Integration,"Error : 983, Severity: 14, State: 1.     Unable to access database 'Venafi_TPP' because its replica role is RESOLVING which does not allow connections. Try the ",Hardware,Accessibility Issue,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Check availability group.  Look for certain errors in error logs. Resolve network or connection issues. Check firewall. Restart services if no issues identified.  Consider manual failover,2021-09-18 01:43,21760,2021-09-18 07:45,Done
INC-0175622,[System] Incident,IA SRS Integration,2019-09-18 02:34:40.501334 Error IA.Payments.Channel.Pexa.PaymentState.Logic.Handlers.AbortPaymentProcessor IA\apisvc_prd_pm0005 IALPMSELIN04 ProcessId:6760 T,Hardware,Execution Error,Moderate / Limited,Low,Medium,Cancelled,Closed,Unassigned,No Parent Incident,No action required. Ticket Invalid,2021-09-18 02:38,118858,2021-09-19 11:38,Done
INC-0175649,[System] Incident,IA SRS Integration,ALERT11-03: Unable to connect to one or more databases (IALMMSELSQL01) configured in file local.cfg located in ALERT directory.,Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart monitoring tool,2021-09-18 03:47,229,2021-09-18 03:50,Done
INC-0175657,[System] Incident,IA SRS Integration,"spid5s      Error: 35262, Severity: 17, State: 1.    Skipping the default startup of database 'LICENSE' because the database belongs to an availability group (G",Hardware,Database Error,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Check database status and AG status. Initiate switch over.,2021-09-18 04:30,11794,2021-09-18 07:46,Done
INC-0175674,[System] Incident,IA SRS Integration,ALERT-3030: Cannot connect to MS SQL Server IALMMSELSQL01. [Policy: ALERTMON-ALERT-3030-ARM],Hardware,Connection Failure,Significant / Large,Medium,High,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart database,2021-09-18 06:59,214,2021-09-18 07:02,Done
INC-0176089,[System] Incident,IA SRS Integration,ALERT-3230: Cannot connect to database Test_DB_Assigmt_Group for IALPMSVSCL20FI1\PRODTDE. [Policy: ALERTMON-ALERT-3230-ARM],Hardware,Connection Failure,Minor / Localized,Low,Low,Cancelled,Closed,Unassigned,No Parent Incident,No action required. Ticket Invalid,2021-09-18 17:52,1624,2021-09-18 18:19,Done
INC-0176099,[System] Incident,IA SRS Integration,ALERT-3230: Cannot connect to database Test_DB_Assigmt_Group for IALPMSVSCL20FI2\DRTDE. [Policy: ALERTMON-ALERT-3230-ARM],Hardware,Connection Failure,Moderate / Limited,Low,Medium,Not Solved (Not Reproducible),Closed,Unassigned,No Parent Incident,No action taken. For monitoring.,2021-09-18 18:26,59034,2021-09-19 10:49,Done
INC-0176100,[System] Incident,IA SRS Integration,ALERT-3233: Database Test_DB_Assigmt_Group has not been backed up for 876000.00 hours >=72 hours for IALPMSVSCL20FI2\DRTDE. [Policy: ALERTMON-ALERT-3233-ARM],Hardware,Backup Missing,Moderate / Limited,Low,Medium,Not Solved (Not Reproducible),Closed,Unassigned,No Parent Incident,No action taken. For monitoring.,2021-09-18 18:27,59063,2021-09-19 10:51,Done
INC-0176111,[System] Incident,IA SRS Integration,ALERT-3233: Database REGRPT_PHASE2_AUG_FORM720 has not been backed up for 876000.00 hours >=168 hours for IALPMSPLSQL02\EBI_PP. [Policy: ALERTMON-ALERT-3233-ARM],Hardware,Backup Missing,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Run database backup job or script,2021-09-18 19:28,32499,2021-09-19 04:29,Done
INC-0176134,[System] Incident,IA SRS Integration,ALERT-3278: filegroup space % used 92.18 % for filegroup LOG_GROUP in database BIDW too high >=90 % for IALPMSPLSQL02\EBI_PP. [Policy: ALERTMON-ALERT-3278-ARM],Hardware,High Disk Usage,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Check primary data file and log data file size.,2021-09-18 22:12,22772,2021-09-19 04:31,Done
INC-0176136,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'N:' Logs LOWER THAN THRESHOLD 5.0% (46073.45 MB),Hardware,Insufficient Disk Space,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase disk space by 20% from original size,2021-09-18 22:18,22186,2021-09-19 04:27,Done
INC-0176137,[System] Incident,IA SRS Integration,"Error: 9002, Severity: 17, State: 4.    The transaction log for database 'BIDW' is full due to 'ACTIVE_TRANSACTION'.",Hardware,Full DB Storage,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Kill long running process. Rerun transaction log backup. Rerun  process,2021-09-18 22:31,21726,2021-09-19 04:33,Done
INC-0176138,[System] Incident,IA SRS Integration,"MSSQL Error: 17053. spid98      Error: 17053, Severity: 16, State: 1.    N:\Program Files\Microsoft SQL Server\MSSQL12.EBI_PP\MSSQL\Data\BIDW_log.ldf: Operating",Hardware,Operating System Error,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Check database status and ldf location. Restart database.,2021-09-18 22:32,22393,2021-09-19 04:45,Done
INC-0176159,[System] Incident,IA SRS Integration,ALERT-3278: filegroup space % used 99.42 % for filegroup LOG_GROUP in database REGRPT too high >=90 % for IALPMSPLSQL02\EBI_PP. [Policy: ALERTMON-ALERT-3278-ARM],Hardware,High Disk Usage,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Check primary data file and log data file size.,2021-09-19 01:40,10568,2021-09-19 04:36,Done
INC-0176181,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Database_Mirroring_Monitor_Job, Job id = 9FFC3C3E-F44B-421E-82AD-FCF65C0AFA88, run date = 20190919, runtime = 25500 for IA",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-09-19 02:57,4115,2021-09-19 04:05,Done
INC-0176212,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'D:' Data LOWER THAN THRESHOLD 10.0% (51199.70 MB),Hardware,Insufficient Disk Space,Minor / Localized,Low,Low,Solved (Permanently),Closed,Deomar Amarlio,No Parent Incident,Increase disk space by 20% from original size,2021-09-19 06:53,2097784,2021-10-13 13:36,Done
INC-0176221,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'M:' SQL_DATA LOWER THAN THRESHOLD 10.0% (1151372.49 MB),Hardware,Insufficient Disk Space,Minor / Localized,Low,Low,Solved (Work Around),Closed,Deomar Amarlio,No Parent Incident,Increase disk space by 20% from original size,2021-09-19 07:44,14733,2021-09-19 11:49,Done
INC-0176505,[System] Incident,IA SRS Integration,PerfMon counter MEMORY->% COMMITTED BYTES IN USE->NONE has breached threshold 90 for 60 minutes.,Hardware,High Memory Usage,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Increase physical memory (RAM). Optimize Server memory settings. Close memory-intensive operations. Close idle sessions. Optimize query creation. ,2021-09-19 13:24,75458,2021-09-20 10:21,Done
INC-0176690,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'M:' SQL_DATA LOWER THAN THRESHOLD 10.0% (1151372.49 MB),Hardware,Insufficient Disk Space,Minor / Localized,Low,Low,Solved (Permanently),Closed,Deomar Amarlio,No Parent Incident,Increase disk space by 20% from original size,2021-09-19 19:58,1196145,2021-10-03 16:13,Done
INC-0176701,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = User_BigDB_FULL_BK, Job id = 24A63081-6E29-49CC-A3E3-49D28523B64E, run date = 20190919, runtime = 173000 for IALPMSPLSQL02",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-09-19 20:55,271429,2021-09-23 00:18,Done
INC-0176737,[System] Incident,IA SRS Integration,FREE DISK SPACE ON 'Z:' BACKUPS LOWER THAN THRESHOLD 10.0% (34303.69 MB),Hardware,Insufficient Disk Space,Minor / Localized,Low,Low,Solved (Permanently),Closed,Deomar Amarlio,No Parent Incident,Increase disk space by 20% from original size,2021-09-20 02:38,2026826,2021-10-13 13:38,Done
INC-0176742,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = Database_Mirroring_Monitor_Job, Job id = 9FFC3C3E-F44B-421E-82AD-FCF65C0AFA88, run date = 20190920, runtime = 25500 for IA",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Unassigned,No Parent Incident,Rerun Job,2021-09-20 02:57,252,2021-09-20 03:01,Done
INC-0177061,[System] Incident,IA SRS Integration,ALERT11-03: Unable to connect to one or more databases (IA-PMSHQSQL01) configured in file local.cfg located in ALERT directory.,Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Restart monitoring tool,2021-09-20 14:57,13265,2021-09-20 18:38,Done
INC-0177064,[System] Incident,IA SRS Integration,ALERT-3230: Cannot connect to database Test_DB_Assigmt_Group for IALPMSVSCL20FI2\DRTDE. [Policy: ALERTMON-ALERT-3230-ARM],Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Work Around),Closed,Unassigned,No Parent Incident,Restart database,2021-09-20 15:02,258298,2021-09-23 14:46,Done
INC-0177152,[System] Incident,IA SRS Integration,"Logon       Error: 17828, Severity: 20, State: 4.     The prelogin packet used to open the connection is structurally invalid; the connection has been closed. P",Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Deomar Amarlio,No Parent Incident,Check Compatibility of client and server. Update client or server if necessary. Check firewall settings. Reconfigure network configurations if necessary.,2021-09-20 20:11,44545,2021-09-21 08:33,Done
INC-0177153,[System] Incident,IA SRS Integration,"Logon       Error: 17828, Severity: 20, State: 4.     The prelogin packet used to open the connection is structurally invalid; the connection has been closed. P",Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Deomar Amarlio,No Parent Incident,Check Compatibility of client and server. Update client or server if necessary. Check firewall settings. Reconfigure network configurations if necessary.,2021-09-20 20:17,44203,2021-09-21 08:33,Done
INC-0177159,[System] Incident,IA SRS Integration,"Logon       Error: 17828, Severity: 20, State: 4.     The prelogin packet used to open the connection is structurally invalid; the connection has been closed. P",Hardware,Connection Failure,Moderate / Limited,Low,Medium,Solved (Permanently),Closed,Unassigned,No Parent Incident,Check Compatibility of client and server. Update client or server if necessary. Check firewall settings. Reconfigure network configurations if necessary.,2021-09-20 20:50,42232,2021-09-21 08:33,Done
INC-0177220,[System] Incident,IA SRS Integration,"ALERT-3277.2: Job failed.  Job name = User_DB.Statistics_Update, Job id = 7AD7A7B7-B875-43DE-AC55-2D95C7F8D3C0, run date = 20190921, runtime = 23000 for IALPMSP",Hardware,Job Failure,Minor / Localized,Low,Low,Solved (Permanently),Closed,Neil Bohol Leban,No Parent Incident,Rerun Job,2021-09-21 06:12,211976,2021-09-23 17:04,Done
